"Yr","Movie","DavidScore","MargScore","RvwDate","Link"
"2009","The Boy In The Striped Pyjamas","4.0","4.0","2009-04-22","http://www.abc.net.au/atthemovies/txt/s2539660.htm",
"2009","The Informant","4.0","2.0","2009-11-25","http://www.abc.net.au/atthemovies/txt/s2738631.htm",
"2009","Adam","3.0","3.5","2009-08-19","http://www.abc.net.au/atthemovies/txt/s2642579.htm",
"2009","My Sister's Keeper","3.0","3.5","2009-07-29","http://www.abc.net.au/atthemovies/txt/s2625654.htm",
"2009","Bastardy","3.5","3.5","2009-06-24","http://www.abc.net.au/atthemovies/txt/s2590401.htm",
"2009","Defiance","3.0","3.0","2009-05-06","http://www.abc.net.au/atthemovies/txt/s2547203.htm",
"2009","The Uninvited","3.0","3.0","2009-03-25","http://www.abc.net.au/atthemovies/txt/s2517203.htm",
"2009","Changeling","4.5","4.0","2009-02-11","http://www.abc.net.au/atthemovies/txt/s2475908.htm",
"2009","Broken Embraces (Los Abrazos Rotos)","4.0","4.0","2009-12-06","http://www.abc.net.au/atthemovies/txt/s2750502.htm",
"2009","Cedar Boys","4.0","3.5","2009-07-29","http://www.abc.net.au/atthemovies/txt/s2625717.htm",
"2009","An Education","3.5","3.5","2009-10-14","http://www.abc.net.au/atthemovies/txt/s2693244.htm",
"2009","Valentino - The Last Emperor","","4.0","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2658169.htm",
"2009","Drag Me To Hell","2.5","3.5","2009-07-22","http://www.abc.net.au/atthemovies/txt/s2616309.htm",
"2009","A Complete History Of My Sexual Failures","3.0","3.5","2009-03-25","http://www.abc.net.au/atthemovies/txt/s2514335.htm",
"2009","Genova","3.5","3.5","2009-11-04","http://www.abc.net.au/atthemovies/txt/s2725408.htm",
"2009","Sister Smile","2.5","2.5","2009-11-11","http://www.abc.net.au/atthemovies/txt/s2727853.htm",
"2009","Inglourious Basterds","4.0","4.5","2009-08-19","http://www.abc.net.au/atthemovies/txt/s2642583.htm",
"2009","Funny People","2.5","3.0","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2658162.htm",
"2009","Bruno","1","3.5","2009-07-08","http://www.abc.net.au/atthemovies/txt/s2603243.htm",
"2009","Cloudy With A Chance of Meatballs","3.5","3.0","2009-11-25","http://www.abc.net.au/atthemovies/txt/s2738634.htm",
"2009","Imagine That","1.5","3.0","2009-09-30","http://www.abc.net.au/atthemovies/txt/s2671854.htm",
"2009","My Friends My Loves","1.5","0.5","2009-07-15","http://www.abc.net.au/atthemovies/txt/s2616232.htm",
"2009","Disgrace","4.0","4.0","2009-06-17","http://www.abc.net.au/atthemovies/txt/s2589575.htm",
"2009","Mary And Max","3.5","4.0","2009-04-08","http://www.abc.net.au/atthemovies/txt/s2527141.htm",
"2009","JCVD","3.0","3.0","2009-04-08","http://www.abc.net.au/atthemovies/txt/s2527158.htm",
"2009","Zack And Miri Make A Porno","3.0","3.0","2009-02-18","http://www.abc.net.au/atthemovies/txt/s2476140.htm",
"2009","Shall We Kiss?","3.0","","2009-06-17","http://www.abc.net.au/atthemovies/txt/s2590277.htm",
"2009","Tyson","4.0","4.0","2009-08-05","http://www.abc.net.au/atthemovies/txt/s2632324.htm",
